position,response_index,region,prefix,actual_next_token_id,actual_next_token,arm,rank,token_id,token_text,raw_logit,probability_T0.6,probability_T1.0,log_probability_T0.6
1,0,<reasoning> 标签/边界,,27,<,student,1,27,<,37.75,1.0,0.9999991059303284,0.0
1,0,<reasoning> 标签/边界,,27,<,teacher,1,27,<,40.75,1.0,0.9999998807907104,0.0
1,0,<reasoning> 标签/边界,,27,<,student,2,366, <,23.75,7.35296754039716e-11,8.315279274029308e-07,-23.333332061767578
1,0,<reasoning> 标签/边界,,27,<,teacher,2,366, <,25.125,4.900597289081432e-12,1.6373770961308765e-07,-26.041664123535156
1,0,<reasoning> 标签/边界,,27,<,student,3,4159,<int,20.875,6.101936989542922e-13,4.691164434689199e-08,-28.125
1,0,<reasoning> 标签/边界,,27,<,teacher,3,11275,<tr,22.125,3.301996330984554e-14,8.152020392060422e-09,-31.041664123535156
1,0,<reasoning> 标签/边界,,27,<,student,4,11275,<tr,20.25,2.1531719820739453e-13,2.510999053129126e-08,-29.166664123535156
1,0,<reasoning> 标签/边界,,27,<,teacher,4,88752,<algorithm,21.875,2.1768072506209504e-14,6.348800152267131e-09,-31.458332061767578
1,0,<reasoning> 标签/边界,,27,<,student,5,88752,<algorithm,20.125,1.7482341258239636e-13,2.2159490242756874e-08,-29.375
1,0,<reasoning> 标签/边界,,27,<,teacher,5,144138,〈,21.375,9.460377156677614e-15,3.850741947530878e-09,-32.291664123535156
1,0,<reasoning> 标签/边界,,27,<,student,6,1784,><,19.375,5.008774495965547e-14,1.0467402056235642e-08,-30.625
1,0,<reasoning> 标签/边界,,27,<,teacher,6,4159,<int,21.25,7.68120477976069e-15,3.3982678893096363e-09,-32.5
1,0,<reasoning> 标签/边界,,27,<,student,7,30558,"<
",19.375,5.008774495965547e-14,1.0467402056235642e-08,-30.625
1,0,<reasoning> 标签/边界,,27,<,teacher,7,32264,<object,21.125,6.2366570038213144e-15,2.998960857425459e-09,-32.70833206176758
1,0,<reasoning> 标签/边界,,27,<,student,8,32264,<object,19.25,4.066811516993847e-14,9.23744991609965e-09,-30.833332061767578
1,0,<reasoning> 标签/边界,,27,<,teacher,8,30558,"<
",21.0,5.063775140439495e-15,2.646573848963385e-09,-32.916664123535156
1,0,<reasoning> 标签/边界,,27,<,student,9,87398,<::,18.625,1.435040678139394e-14,4.94445018262013e-09,-31.874998092651367
1,0,<reasoning> 标签/边界,,27,<,teacher,9,1784,><,20.875,4.111452609709696e-15,2.335593052293916e-09,-33.125
1,0,<reasoning> 标签/边界,,27,<,student,10,13680,<link,18.5,1.1651609886610074e-14,4.363462480228009e-09,-32.08333206176758
1,0,<reasoning> 标签/边界,,27,<,teacher,10,50279,<ll,20.875,4.111452609709696e-15,2.335593052293916e-09,-33.125
2,1,<reasoning> 标签/边界,<,19895,reason,student,1,19895,reason,36.75,1.0,0.9999990463256836,0.0
2,1,<reasoning> 标签/边界,<,19895,reason,teacher,1,19895,reason,35.25,1.0,0.9999982714653015,0.0
2,1,<reasoning> 标签/边界,<,19895,reason,student,2,32711, reasoning,21.75,1.3887944613766301e-11,3.0590203436986485e-07,-25.0
2,1,<reasoning> 标签/边界,<,19895,reason,teacher,2,25139,Reason,20.75,3.195578177073166e-11,5.043467012910696e-07,-24.166667938232422
2,1,<reasoning> 标签/边界,<,19895,reason,student,3,2165,ration,21.375,7.433680407342713e-12,2.102431864159371e-07,-25.625
2,1,<reasoning> 标签/边界,<,19895,reason,teacher,3,1311,action,20.25,1.3887944613766301e-11,3.059017217310611e-07,-25.0
2,1,<reasoning> 标签/边界,<,19895,reason,student,4,25139,Reason,21.375,7.433680407342713e-12,2.102431864159371e-07,-25.625
2,1,<reasoning> 标签/边界,<,19895,reason,teacher,4,32711, reasoning,20.0,9.155485397593921e-12,2.3823650963095133e-07,-25.416667938232422
2,1,<reasoning> 标签/边界,<,19895,reason,student,5,2874, reason,20.5,1.7292456529205413e-12,8.764248349280024e-08,-27.083335876464844
2,1,<reasoning> 标签/边界,<,19895,reason,teacher,5,2874, reason,19.875,7.433680407342713e-12,2.1024298746397108e-07,-25.625
2,1,<reasoning> 标签/边界,<,19895,reason,student,6,1311,action,19.375,2.6518839750001855e-13,2.8453348122070565e-08,-28.958335876464844
2,1,<reasoning> 标签/边界,<,19895,reason,teacher,6,2165,ration,19.875,7.433680407342713e-12,2.1024298746397108e-07,-25.625
2,1,<reasoning> 标签/边界,<,19895,reason,student,7,46692,reasonable,19.375,2.6518839750001855e-13,2.8453348122070565e-08,-28.958335876464844
2,1,<reasoning> 标签/边界,<,19895,reason,teacher,7,46692,reasonable,18.625,9.25600308204766e-13,6.023562804102767e-08,-27.70833396911621
2,1,<reasoning> 标签/边界,<,19895,reason,student,8,38229,_reason,18.875,1.1525055540993756e-13,1.7257828943684217e-08,-29.791667938232422
2,1,<reasoning> 标签/边界,<,19895,reason,teacher,8,38229,_reason,18.25,4.954381089411486e-13,4.139929643542928e-08,-28.33333396911621
2,1,<reasoning> 标签/边界,<,19895,reason,student,9,57703,.reason,17.75,1.7674243687516855e-14,5.602796449011294e-09,-31.666667938232422
2,1,<reasoning> 标签/边界,<,19895,reason,teacher,9,57703,.reason,16.875,5.008774495965547e-14,1.0467381628131989e-08,-30.625
2,1,<reasoning> 标签/边界,<,19895,reason,student,10,102401,理由,17.5,1.165156499386387e-14,4.363462480228009e-09,-32.083335876464844
2,1,<reasoning> 标签/边界,<,19895,reason,teacher,10,265,re,16.625,3.3019837948969344e-14,8.152005293027287e-09,-31.041667938232422
3,2,<reasoning> 标签/边界,<reason,287,ing,student,1,287,ing,52.75,1.0,1.0,0.0
3,2,<reasoning> 标签/边界,<reason,287,ing,teacher,1,287,ing,52.75,1.0,1.0,0.0
3,2,<reasoning> 标签/边界,<reason,287,ing,student,2,1718,ING,30.125,4.20222640427964e-17,1.493094675675266e-10,-37.70833206176758
3,2,<reasoning> 标签/边界,<reason,287,ing,teacher,2,1718,ING,29.125,7.936970858194324e-18,5.4927885156930145e-11,-39.375
